Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
173           364.36           2.07
189           400.61          18.98
191           402.03           0.91
192           406.42           7.87
193           407.09            5.7
197           418.63           2.37
198           419.09           3.83
199           423.75           12.2
200           426.09           3.15
201           426.18           0.81
202            426.2          10.25
203           426.62          10.79
204           429.06           4.86
205           430.64           0.99
207           436.92           5.93
208           438.81           4.61
210           445.67           15.5
211           446.07           1.23
212           447.18          22.54
213           448.02          23.87
214           449.88           4.12
215           451.03          18.46
216           454.03            5.6
217            454.5           3.23
221           460.65           5.85
222           462.75           2.88
224           472.16           3.99
227           478.19           5.68
228           478.74          10.92
229            478.9          11.66
Number of Tellers: 2
Number of Queues: 1
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 230
Number of customers served: 131
Num. Turned Away: 99
Num. who waited: 129
Average Wait: 31.98339959904739 min.
Max Wait: 72.38779721687558 min.
Std. Dev. Wait: 16.46868336586702
Ave. Service: 7.5155281163531455 min.
Ave. Waiter Wait: 32.47926625949774 min.
Ave. in System: 40.26101185248176 min.


Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65           3.33             -1              0           0.65              0           3.99           3.33
1               2.58          12.48             -1              1           2.58              0          15.06          12.48
2               3.39             10              0              0           3.99            0.6          18.82          15.43
3               4.78           5.62              0              0          18.82          14.05          23.41          18.64
